,player_name,position,games,at_bats,runs,hits,doubles,triples,home_runs,RBI,walks,strikeouts,stolen base ,caught_stealing,AVG,on_base_%,slugging_%,OPS
271,J Medwick,LF,1984.0,7635.0,1198.0,2471.0,540.0,113.0,205.0,1383.0,437.0,551,42.0,--,0.324,0.362,0.505,0.867
272,J Cruz Jr.,CF,1388.0,4724.0,713.0,1167.0,252.0,36.0,204.0,624.0,658.0,1147,113.0,39,0.247,0.337,0.445,0.782
273,R Carty,LF,1651.0,5606.0,712.0,1677.0,278.0,17.0,204.0,890.0,642.0,663,21.0,26,0.299,0.369,0.464,0.833
274,W Joyner,1B,2033.0,7127.0,973.0,2060.0,409.0,26.0,204.0,1106.0,833.0,825,60.0,39,0.289,0.362,0.44,0.802
275,R Hebner,3B,1908.0,6144.0,865.0,1694.0,273.0,57.0,203.0,890.0,687.0,741,38.0,40,0.276,0.352,0.438,0.79
276,M Moustakas,1B,1317.0,4711.0,553.0,1165.0,259.0,6.0,203.0,635.0,378.0,874,21.0,10,0.247,0.308,0.434,0.742
277,B Dickey,C,1789.0,6300.0,930.0,1969.0,343.0,72.0,202.0,1209.0,678.0,289,36.0,29,0.313,0.382,0.486,0.868
278,S Gordon,LF,1475.0,4992.0,735.0,1415.0,220.0,43.0,202.0,805.0,731.0,356,19.0,5,0.283,0.377,0.466,0.843
279,C Everett,CF,1405.0,4809.0,707.0,1304.0,258.0,26.0,202.0,791.0,442.0,1021,107.0,54,0.271,0.341,0.462,0.803
280,T Hundley,C,1225.0,3769.0,495.0,883.0,167.0,7.0,202.0,599.0,453.0,988,14.0,11,0.234,0.32,0.443,0.763
281,B White,1B,1673.0,5972.0,843.0,1706.0,278.0,65.0,202.0,870.0,596.0,927,103.0,68,0.286,0.351,0.455,0.806
282,J Peralta,SS,1798.0,6599.0,841.0,1761.0,376.0,24.0,202.0,873.0,606.0,1450,17.0,27,0.267,0.329,0.423,0.752
283,B Bell,3B,2405.0,8995.0,1151.0,2514.0,425.0,56.0,201.0,1106.0,836.0,776,55.0,79,0.279,0.341,0.406,0.747
284,G Tenace,C,1555.0,4390.0,653.0,1060.0,179.0,20.0,201.0,674.0,984.0,998,36.0,42,0.241,0.388,0.429,0.817
285,D Mincher,1B,1400.0,4026.0,530.0,1003.0,176.0,16.0,200.0,643.0,606.0,668,24.0,32,0.249,0.348,0.45,0.798
286,J Hamilton,CF,1027.0,3909.0,609.0,1134.0,234.0,24.0,200.0,701.0,352.0,938,50.0,16,0.29,0.349,0.516,0.865
287,A Lind,1B,1344.0,4577.0,588.0,1247.0,259.0,12.0,200.0,723.0,393.0,945,7.0,5,0.272,0.33,0.465,0.795
288,O Gamble,OF,1584.0,4502.0,656.0,1195.0,188.0,31.0,200.0,666.0,610.0,544,47.0,37,0.265,0.356,0.454,0.81
289,B Freehan,C,1774.0,6073.0,706.0,1591.0,241.0,35.0,200.0,758.0,626.0,753,24.0,21,0.262,0.34,0.412,0.752
290,J Uribe,SS,1826.0,6161.0,724.0,1568.0,323.0,43.0,199.0,816.0,388.0,1224,48.0,39,0.255,0.301,0.418,0.719
291,J Jensen,RF,1438.0,5236.0,810.0,1463.0,259.0,45.0,199.0,929.0,750.0,546,143.0,55,0.279,0.369,0.46,0.829
292,C Cedeno,CF,2006.0,7310.0,1084.0,2087.0,436.0,60.0,199.0,976.0,664.0,938,550.0,179,0.285,0.347,0.443,0.79
293,K Schwarber,LF,822.0,2795.0,471.0,649.0,111.0,11.0,199.0,445.0,424.0,923,22.0,12,0.232,0.338,0.493,0.831
294,B Larkin,SS,2180.0,7937.0,1329.0,2340.0,441.0,76.0,198.0,960.0,939.0,817,379.0,77,0.295,0.371,0.444,0.815
295,R White,LF,1474.0,5357.0,756.0,1519.0,296.0,34.0,198.0,768.0,360.0,925,94.0,47,0.284,0.336,0.462,0.798
296,D Henderson,CF,1538.0,5130.0,710.0,1324.0,286.0,17.0,197.0,708.0,465.0,1105,50.0,38,0.258,0.32,0.436,0.756
297,M Cuddyer,RF,1536.0,5488.0,809.0,1522.0,333.0,42.0,197.0,794.0,527.0,1101,75.0,22,0.277,0.344,0.461,0.805
298,D McAuliffe,2B,1763.0,6185.0,888.0,1530.0,231.0,71.0,197.0,697.0,882.0,974,63.0,59,0.247,0.343,0.403,0.746
299,M Ozuna,LF,1166.0,4434.0,583.0,1187.0,201.0,20.0,197.0,677.0,379.0,1044,28.0,14,0.268,0.326,0.455,0.781
300,E Hosmer,1B,1660.0,6262.0,805.0,1731.0,319.0,20.0,196.0,879.0,556.0,1212,76.0,30,0.276,0.336,0.428,0.764
301,C Johnson,DH,1369.0,3945.0,539.0,1016.0,188.0,10.0,196.0,699.0,568.0,719,9.0,12,0.258,0.355,0.459,0.814
302,J Smoak,1B,1286.0,4153.0,505.0,951.0,196.0,2.0,196.0,570.0,552.0,1122,3.0,3,0.229,0.322,0.419,0.741
303,K Williams,OF,1398.0,4862.0,862.0,1552.0,285.0,77.0,196.0,913.0,566.0,287,154.0,106,0.319,0.393,0.53,0.923
304,A Cabrera,SS,1822.0,6632.0,886.0,1763.0,401.0,28.0,195.0,869.0,589.0,1330,91.0,32,0.266,0.329,0.423,0.752
305,T Harrah,3B,2155.0,7402.0,1115.0,1954.0,307.0,40.0,195.0,918.0,1154.0,868,238.0,94,0.264,0.365,0.395,0.76
306,J Willingham,LF,1147.0,3912.0,564.0,988.0,216.0,15.0,195.0,632.0,553.0,1036,35.0,9,0.253,0.358,0.465,0.823
307,J Bell,SS,2063.0,7398.0,1123.0,1963.0,394.0,67.0,195.0,860.0,853.0,1443,91.0,60,0.265,0.343,0.416,0.759
308,J Heath,LF,1383.0,4937.0,777.0,1447.0,279.0,102.0,194.0,887.0,593.0,670,56.0,47,0.293,0.37,0.509,0.879
309,R Branyan,3B,1059.0,2934.0,405.0,682.0,143.0,8.0,194.0,467.0,403.0,1118,16.0,4,0.232,0.329,0.485,0.814
